key,class_id,class_label
0,n01440764,tench
1,n01443537,goldfish
4,n01494475,hammerhead
6,n01498041,stingray
7,n01514668,cock
8,n01514859,hen
9,n01518878,ostrich
10,n01530575,brambling
11,n01531178,goldfinch
13,n01534433,junco
15,n01558993,robin
16,n01560419,bulbul
17,n01580077,jay
18,n01582220,magpie
19,n01592084,chickadee
21,n01608432,kite
23,n01616318,vulture
27,n01631663,eft
29,n01632777,axolotl
30,n01641577,bullfrog
33,n01664065,loggerhead
36,n01667778,terrapin
41,n01685808,whiptail
42,n01687978,agama
51,n01704323,triceratops
67,n01755581,diamondback
68,n01756291,sidewinder
69,n01768244,trilobite
70,n01770081,harvestman
71,n01770393,scorpion
76,n01774750,tarantula
78,n01776313,tick
79,n01784675,centipede
81,n01796340,ptarmigan
84,n01806143,peacock
85,n01806567,quail
86,n01807496,partridge
88,n01818515,macaw
90,n01820546,lorikeet
91,n01824575,coucal
93,n01829413,hornbill
94,n01833805,hummingbird
95,n01843065,jacamar
96,n01843383,toucan
97,n01847000,drake
99,n01855672,goose
101,n01871265,tusker
102,n01872401,echidna
103,n01873310,platypus
104,n01877812,wallaby
105,n01882714,koala
106,n01883070,wombat
107,n01910747,jellyfish
110,n01924916,flatworm
111,n01930112,nematode
112,n01943899,conch
113,n01944390,snail
114,n01945685,slug
116,n01955084,chiton
124,n01985128,crayfish
126,n01990800,isopod
129,n02006656,spoonbill
130,n02007558,flamingo
133,n02011460,bittern
134,n02012849,crane
135,n02013706,limpkin
138,n02018795,bustard
141,n02028035,redshank
142,n02033041,dowitcher
143,n02037110,oystercatcher
144,n02051845,pelican
146,n02058221,albatross
149,n02074367,dugong
151,n02085620,chihuahua
154,n02086079,pekinese
157,n02086910,papillon
161,n02088238,basset
162,n02088364,beagle
163,n02088466,bloodhound
164,n02088632,bluetick
168,n02090379,redbone
169,n02090622,borzoi
172,n02091134,whippet
175,n02091635,otterhound
176,n02091831,saluki
178,n02092339,weimaraner
191,n02096051,airedale
192,n02096177,cairn
204,n02098413,lhasa
211,n02100583,vizsla
216,n02101556,clumber
222,n02104029,kuvasz
223,n02104365,schipperke
224,n02105056,groenendael
225,n02105162,malinois
226,n02105251,briard
227,n02105412,kelpie
228,n02105505,komondor
231,n02106030,collie
234,n02106550,rottweiler
236,n02107142,doberman
240,n02107908,appenzeller
241,n02108000,entlebucher
242,n02108089,boxer
249,n02110063,malamute
251,n02110341,dalmatian
252,n02110627,affenpinscher
253,n02110806,basenji
254,n02110958,pug
255,n02111129,leonberg
256,n02111277,newfoundland
258,n02111889,samoyed
259,n02112018,pomeranian
260,n02112137,chow
261,n02112350,keeshond
263,n02113023,pembroke
264,n02113186,cardigan
272,n02114855,coyote
273,n02115641,dingo
274,n02115913,dhole
276,n02117135,hyena
281,n02123045,tabby
286,n02125311,cougar
287,n02127052,lynx
288,n02128385,leopard
290,n02128925,jaguar
291,n02129165,lion
292,n02129604,tiger
293,n02130308,cheetah
298,n02137549,mongoose
299,n02138441,meerkat
301,n02165456,ladybug
307,n02177972,weevil
308,n02190166,fly
309,n02206856,bee
310,n02219486,ant
311,n02226429,grasshopper
312,n02229544,cricket
314,n02233338,cockroach
315,n02236044,mantis
316,n02256656,cicada
317,n02259212,leafhopper
318,n02264363,lacewing
319,n02268443,dragonfly
320,n02268853,damselfly
321,n02276258,admiral
322,n02277742,ringlet
323,n02279972,monarch
326,n02281787,lycaenid
327,n02317335,starfish
331,n02326432,hare
332,n02328150,angora
333,n02342885,hamster
334,n02346627,porcupine
336,n02361337,marmot
337,n02363005,beaver
339,n02389026,sorrel
340,n02391049,zebra
341,n02395406,hog
343,n02397096,warthog
344,n02398521,hippopotamus
345,n02403003,ox
347,n02410509,bison
348,n02412080,ram
349,n02415577,bighorn
350,n02417914,ibex
351,n02422106,hartebeest
352,n02422699,impala
353,n02423022,gazelle
355,n02437616,llama
356,n02441942,weasel
357,n02442845,mink
358,n02443114,polecat
360,n02444819,otter
361,n02445715,skunk
362,n02447366,badger
363,n02454379,armadillo
365,n02480495,orangutan
366,n02480855,gorilla
367,n02481823,chimpanzee
368,n02483362,gibbon
369,n02483708,siamang
370,n02484975,guenon
371,n02486261,patas
372,n02486410,baboon
373,n02487347,macaque
374,n02488291,langur
375,n02488702,colobus
377,n02490219,marmoset
378,n02492035,capuchin
380,n02493509,titi
384,n02500267,indri
389,n02514041,barracouta
390,n02526121,eel
391,n02536864,coho
394,n02640242,sturgeon
395,n02641379,gar
396,n02643566,lionfish
397,n02655020,puffer
398,n02666196,abacus
399,n02667093,abaya
401,n02672831,accordion
404,n02690373,airliner
405,n02692877,airship
406,n02699494,altar
407,n02701002,ambulance
408,n02704792,amphibian
410,n02727426,apiary
411,n02730930,apron
412,n02747177,ashcan
414,n02769748,backpack
415,n02776631,bakery
417,n02782093,balloon
418,n02783161,ballpoint
420,n02787622,banjo
421,n02788148,bannister
422,n02790996,barbell
424,n02791270,barbershop
425,n02793495,barn
426,n02794156,barometer
427,n02795169,barrel
428,n02797295,barrow
429,n02799071,baseball
430,n02802426,basketball
431,n02804414,bassinet
432,n02804610,bassoon
435,n02808440,bathtub
437,n02814860,beacon
438,n02815834,beaker
439,n02817516,bearskin
443,n02834397,bib
445,n02837789,bikini
446,n02840245,binder
447,n02841315,binoculars
448,n02843684,birdhouse
449,n02859443,boathouse
450,n02860847,bobsled
452,n02869837,bonnet
453,n02870880,bookcase
454,n02871525,bookshop
455,n02877765,bottlecap
456,n02879718,bow
458,n02892201,brass
459,n02892767,brassiere
460,n02894605,breakwater
461,n02895154,breastplate
462,n02906734,broom
463,n02909870,bucket
464,n02910353,buckle
468,n02930766,cab
469,n02939185,caldron
470,n02948072,candle
471,n02950826,cannon
472,n02951358,canoe
474,n02963159,cardigan
476,n02966193,carousel
478,n02971356,carton
481,n02978881,cassette
483,n02980441,castle
484,n02981792,catamaran
486,n02992211,cello
488,n02999410,chain
492,n03014705,chest
493,n03016953,chiffonier
494,n03017168,chime
497,n03028079,church
498,n03032252,cinema
499,n03041632,cleaver
501,n03045698,cloak
502,n03047690,clog
505,n03063689,coffeepot
506,n03065424,coil
509,n03089624,confectionery
511,n03100240,convertible
512,n03109150,corkscrew
513,n03110669,cornet
516,n03125729,cradle
517,n03126707,crane
519,n03127925,crate
520,n03131574,crib
523,n03141823,crutch
524,n03146219,cuirass
525,n03160309,dam
526,n03179701,desk
529,n03188531,diaper
533,n03207743,dishrag
534,n03207941,dishwasher
536,n03216828,dock
537,n03218198,dogsled
538,n03220513,dome
539,n03223299,doormat
541,n03249569,drum
542,n03250847,drumstick
543,n03255030,dumbbell
549,n03291819,envelope
553,n03337140,file
554,n03344393,fireboat
557,n03355925,flagpole
558,n03372029,flute
561,n03384352,forklift
562,n03388043,fountain
570,n03424325,gasmask
572,n03443371,goblet
575,n03445924,golfcart
576,n03447447,gondola
577,n03447721,gong
578,n03450230,gown
580,n03457902,greenhouse
581,n03459775,grille
583,n03467068,guillotine
587,n03481172,hammer
588,n03482405,hamper
591,n03485794,handkerchief
593,n03494278,harmonica
594,n03495258,harp
595,n03496892,harvester
596,n03498962,hatchet
597,n03527444,holster
599,n03530642,honeycomb
600,n03532672,hook
601,n03534580,hoopskirt
604,n03544143,hourglass
605,n03584254,ipod
606,n03584829,iron
608,n03594734,jean
609,n03594945,jeep
610,n03595614,jersey
612,n03599486,jinrikisha
613,n03602883,joystick
614,n03617480,kimono
616,n03627232,knot
618,n03633091,ladle
619,n03637318,lampshade
620,n03642806,laptop
624,n03661043,library
625,n03662601,lifeboat
626,n03666591,lighter
627,n03670208,limousine
628,n03673027,liner
629,n03676483,lipstick
630,n03680355,loafer
631,n03690938,lotion
632,n03691459,loudspeaker
633,n03692522,loupe
634,n03697007,lumbermill
636,n03709823,mailbag
637,n03710193,mailbox
638,n03710637,maillot
639,n03710721,maillot
641,n03720891,maraca
642,n03721384,marimba
643,n03724870,mask
644,n03729826,matchstick
645,n03733131,maypole
646,n03733281,maze
649,n03743016,megalith
650,n03759954,microphone
651,n03761084,microwave
654,n03769881,minibus
655,n03770439,miniskirt
656,n03770679,minivan
657,n03773504,missile
658,n03775071,mitten
662,n03777754,modem
663,n03781244,monastery
664,n03782006,monitor
665,n03785016,moped
666,n03786901,mortar
667,n03787032,mortarboard
668,n03788195,mosque
673,n03793489,mouse
674,n03794056,mousetrap
676,n03803284,muzzle
677,n03804744,nail
679,n03814906,necklace
680,n03825788,nipple
681,n03832673,notebook
682,n03837869,obelisk
683,n03838899,oboe
684,n03840681,ocarina
685,n03841143,odometer
687,n03854065,organ
688,n03857828,oscilloscope
689,n03866082,overskirt
690,n03868242,oxcart
692,n03871628,packet
693,n03873416,paddle
694,n03874293,paddlewheel
695,n03874599,padlock
696,n03876231,paintbrush
697,n03877472,pajama
698,n03877845,palace
699,n03884397,panpipe
701,n03888257,parachute
706,n03899768,patio
708,n03903868,pedestal
711,n03916031,perfume
713,n03924679,photocopier
714,n03929660,pick
715,n03929855,pickelhaube
717,n03930630,pickup
718,n03933933,pier
721,n03938244,pillow
723,n03944341,pinwheel
724,n03947888,pirate
725,n03950228,pitcher
726,n03954731,plane
727,n03956157,planetarium
730,n03967562,plow
731,n03970156,plunger
733,n03976657,pole
735,n03980874,poncho
738,n03991062,pot
742,n04004767,printer
743,n04005630,prison
744,n04008634,projectile
745,n04009552,projector
746,n04019541,puck
748,n04026417,purse
749,n04033901,quill
750,n04033995,quilt
751,n04037443,racer
752,n04039381,racket
753,n04040759,radiator
754,n04041544,radio
758,n04067472,reel
760,n04070727,refrigerator
762,n04081281,restaurant
763,n04086273,revolver
764,n04090263,rifle
766,n04111531,rotisserie
769,n04118776,rule
771,n04125021,safe
773,n04131690,saltshaker
774,n04133789,sandal
775,n04136333,sarong
776,n04141076,sax
777,n04141327,scabbard
778,n04141975,scale
780,n04147183,schooner
781,n04149813,scoreboard
782,n04152593,screen
783,n04153751,screw
784,n04154565,screwdriver
787,n04192698,shield
789,n04201297,shoji
792,n04208210,shovel
795,n04228054,ski
800,n04243546,slot
801,n04251144,snorkel
802,n04252077,snowmobile
803,n04252225,snowplow
806,n04254777,sock
808,n04259630,sombrero
813,n04270147,spatula
814,n04273569,speedboat
816,n04277352,spindle
818,n04286575,spotlight
819,n04296562,stage
823,n04317175,stethoscope
824,n04325704,stole
826,n04328186,stopwatch
827,n04330267,stove
828,n04332243,strainer
829,n04335435,streetcar
830,n04336792,stretcher
832,n04346328,stupa
833,n04347754,submarine
834,n04350905,suit
835,n04355338,sundial
836,n04355933,sunglass
837,n04356056,sunglasses
838,n04357314,sunscreen
840,n04367480,swab
841,n04370456,sweatshirt
843,n04371774,swing
844,n04372370,switch
845,n04376876,syringe
847,n04389033,tank
849,n04398044,teapot
850,n04399382,teddy
851,n04404412,television
853,n04417672,thatch
855,n04423845,thimble
856,n04428191,thresher
857,n04429376,throne
859,n04442312,toaster
862,n04456115,torch
865,n04462240,toyshop
866,n04465501,tractor
868,n04476259,tray
870,n04482393,tricycle
871,n04483307,trimaran
872,n04485082,tripod
874,n04487081,trolleybus
875,n04487394,trombone
876,n04493381,tub
877,n04501370,turnstile
879,n04507155,umbrella
880,n04509417,unicycle
881,n04515003,upright
882,n04517823,vacuum
883,n04522168,vase
884,n04523525,vault
885,n04525038,velvet
887,n04532106,vestment
888,n04532670,viaduct
889,n04536866,violin
890,n04540053,volleyball
893,n04548362,wallet
894,n04550184,wardrobe
895,n04552348,warplane
896,n04553703,washbasin
897,n04554684,washer
902,n04579432,whistle
903,n04584207,wig
908,n04592741,wing
909,n04596742,wok
911,n04599235,wool
913,n04606251,wreck
914,n04612504,yawl
915,n04613696,yurt
922,n07565083,menu
923,n07579787,plate
924,n07583066,guacamole
925,n07584110,consomme
927,n07613480,trifle
931,n07693725,bagel
932,n07695742,pretzel
933,n07697313,cheeseburger
934,n07697537,hotdog
937,n07714990,broccoli
938,n07715103,cauliflower
939,n07716358,zucchini
943,n07718472,cucumber
944,n07718747,artichoke
946,n07730033,cardoon
947,n07734744,mushroom
949,n07745940,strawberry
950,n07747607,orange
951,n07749582,lemon
952,n07753113,fig
953,n07753275,pineapple
954,n07753592,banana
955,n07754684,jackfruit
957,n07768694,pomegranate
958,n07802026,hay
959,n07831146,carbonara
961,n07860988,dough
963,n07873807,pizza
964,n07875152,potpie
965,n07880968,burrito
967,n07920052,espresso
968,n07930864,cup
969,n07932039,eggnog
970,n09193705,alp
971,n09229709,bubble
972,n09246464,cliff
974,n09288635,geyser
975,n09332890,lakeside
976,n09399592,promontory
977,n09421951,sandbar
978,n09428293,seashore
979,n09468604,valley
980,n09472597,volcano
981,n09835506,ballplayer
982,n10148035,groom
984,n11879895,rapeseed
985,n11939491,daisy
987,n12144580,corn
988,n12267677,acorn
989,n12620546,hip
990,n12768682,buckeye
992,n12998815,agaric
993,n13037406,gyromitra
994,n13040303,stinkhorn
995,n13044778,earthstar
997,n13054560,bolete
998,n13133613,ear
